,ids,impres,reach,saved,video_views
286,17863161730211062,1166,971,1,0
287,17910495715104696,1184,1006,5,0
288,17924015272007161,932,779,0,0
289,17896709578153106,1002,841,3,0
290,17906011177090490,1257,1054,1,0
291,17899369258135026,1171,985,7,0
292,17885094880194984,1232,878,0,0
293,17884423417195032,1295,1114,4,0
294,17927188792039785,805,690,1,0
295,17866990480212590,932,775,1,0
296,17867461030215822,934,789,1,0
297,17928324964036742,1124,963,4,0
298,17928439957044959,1249,1063,5,0
299,17904472480136293,1080,917,1,0
300,17897555782173997,972,806,6,0
301,17913691558120631,1019,700,1,0
302,17889213787197761,975,809,1,0
303,17912036722094933,1135,950,1,0
304,17900760310165145,890,789,2,0
305,17858707696224418,1064,940,4,0
306,17942452264006013,1405,1221,4,0
307,17854500352246856,1305,1133,2,0
308,17919190210102009,712,634,1,0
309,17921789962103218,1379,1205,1,0
310,17920904278099929,1104,884,1,0
311,17905780372157928,966,820,1,0
312,17861673604236778,1014,914,2,0
313,17907883747183889,1345,980,2,0
314,17875469593213392,777,693,0,303
315,17935666666060909,1020,881,0,0
316,17903775175168243,1178,1021,2,0
317,17907874456177064,1115,953,3,430
318,17846813005254084,1227,1011,3,0
319,17923137721119325,1091,956,4,0
320,17932143895071823,962,798,0,0
321,17932170901070512,914,776,1,0
322,17867039569231070,1158,1006,0,0
323,17938990648031644,1286,854,1,0
324,17930450815078368,928,794,1,0
325,17879156932209252,1062,921,3,0
326,17921331265087956,799,686,1,0
327,17878398454216357,1117,992,3,0
328,17848761271260302,965,876,0,0
329,17922149812093466,1026,878,3,0
330,17914540594178951,1010,831,2,0
331,17851183045262816,1130,912,0,0
332,17924442679093021,712,592,3,0
333,17855870992248027,666,573,0,0
334,17929949638120126,1522,1318,6,0
335,17848205617262840,501,429,0,126
336,17942776750067204,1035,910,1,0
337,17921181637176938,1111,876,1,0
338,17920186042158569,1014,860,1,0
339,17933508469121527,1129,945,1,0
340,17892029851201473,1376,1114,6,0
341,17888654623222834,663,563,0,0
342,17949793012044564,1214,1023,13,563
343,17923720354176201,570,436,1,158
344,17952135835060159,890,719,1,0
345,17954576185038778,916,762,2,0
346,17880435934237357,947,733,0,0
347,17934210580092074,891,753,1,0
348,17930138893137985,910,759,3,360
349,17954734960027169,1091,932,1,0
350,17954715586035487,2182,1857,4,0
351,17926214440155213,1745,1442,1,0
352,17927692195144963,1170,1011,4,553
353,17867278501248307,851,671,10,272
354,17925195484160257,1151,953,4,0
355,17955439006046463,1472,1214,4,0
356,17942426680118107,2131,1746,3,0
357,17957594734060337,2364,1917,9,0
